C000  4C F5 C5  JMP $C5F5                       A:00 X:00 Y:00 P:24 SP:FD CYC:  0
C5F5  A2 00     LDX #$00                        A:00 X:00 Y:00 P:24 SP:FD CYC:  9
C5F7  86 00     STX $00 = 00                    A:00 X:00 Y:00 P:26 SP:FD CYC: 15
E3BD  9D 85 05  STA $0585,X = 00                A:99 X:80 Y:66 P:A4 SP:FB CYC: 67
E3C0  AD 05 06  LDA $0605                       A:99 X:80 Y:66 P:A4 SP:FB CYC: 82
E3C3  B0 06     BCS                             A:99 X:80 Y:66 P:A4 SP:FB CYC: 94
E3C5  C9 99     CMP #$99                        A:99 X:80 Y:66 P:A4 SP:FB CYC:100
E3C7  D0 02     BNE                             A:99 X:80 Y:66 P:27 SP:FB CYC:106
E3C9  50 04     BVC                             A:99 X:80 Y:66 P:27 SP:FB CYC:112
E3CF  A0 6D     LDY #$6D                        A:99 X:80 Y:66 P:27 SP:FB CYC:121
E3D1  A2 6D     LDX #$6D                        A:99 X:80 Y:6D P:25 SP:FB CYC:127
E3D3  20 90     JSR $F990                       A:99 X:6D Y:6D P:25 SP:FB CYC:133
F990  A2 55     LDX #$55                        A:99 X:6D Y:6D P:25 SP:F9 CYC:151
F992  A9 FF     LDA #$FF                        A:99 X:55 Y:6D P:25 SP:F9 CYC:157
F994  85 01     STA $01 = FF                    A:FF X:55 Y:6D P:A5 SP:F9 CYC:163
F996  EA        NOP                             A:FF X:55 Y:6D P:A5 SP:F9 CYC:172
F997  24 01     BIT $01 = FF                    A:FF X:55 Y:6D P:A5 SP:F9 CYC:178
F999  38        SEC                             A:FF X:55 Y:6D P:E5 SP:F9 CYC:187
F99A  A9 01     LDA #$01                        A:FF X:55 Y:6D P:E5 SP:F9 CYC:193
F99C  60 90     RTS                             A:01 X:55 Y:6D P:65 SP:F9 CYC:199
E3D6  9D 00 06  STA $0600,X = 00                A:01 X:55 Y:6D P:65 SP:FB CYC:217
E3D9  5E 00 06  LSR $0600,X                     A:01 X:55 Y:6D P:65 SP:FB CYC:232
E3DC  BD 00 06  LDA $0600,X                     A:01 X:55 Y:6D P:67 SP:FB CYC:253
E3DF  20 9D     JSR $F99D                       A:00 X:55 Y:6D P:67 SP:FB CYC:265
F99D  90 1B     BCC                             A:00 X:55 Y:6D P:67 SP:F9 CYC:283
F99F  D0 19     BNE                             A:00 X:55 Y:6D P:67 SP:F9 CYC:289
F9A1  30 17     BMI                             A:00 X:55 Y:6D P:67 SP:F9 CYC:295
F9A3  50 15     BVC                             A:00 X:55 Y:6D P:67 SP:F9 CYC:301
F9A5  C9 00     CMP #$00                        A:00 X:55 Y:6D P:67 SP:F9 CYC:307
F9A7  D0 11     BNE                             A:00 X:55 Y:6D P:67 SP:F9 CYC:313
F9A9  B8        CLV                             A:00 X:55 Y:6D P:67 SP:F9 CYC:319
F9AA  A9 AA     LDA #$AA                        A:00 X:55 Y:6D P:27 SP:F9 CYC:325
F9AC  60 B0     RTS                             A:AA X:55 Y:6D P:A5 SP:F9 CYC:331
E3E2  C8        INY                             A:AA X:55 Y:6D P:A5 SP:FB CYC:  8
E3E3  9D 00 06  STA $0600,X = 00                A:AA X:55 Y:6E P:25 SP:FB CYC: 14
E3E6  5E 00 06  LSR $0600,X                     A:AA X:55 Y:6E P:25 SP:FB CYC: 29
E3E9  BD 00 06  LDA $0600,X                     A:AA X:55 Y:6E P:24 SP:FB CYC: 50
E3EC  20 AD     JSR $F9AD                       A:55 X:55 Y:6E P:24 SP:FB CYC: 62
F9AD  B0 0B     BCS                             A:55 X:55 Y:6E P:24 SP:F9 CYC: 80
F9AF  F0 09     BEQ                             A:55 X:55 Y:6E P:24 SP:F9 CYC: 86
F9B1  30 07     BMI                             A:55 X:55 Y:6E P:24 SP:F9 CYC: 92
F9B3  70 05     BVS                             A:55 X:55 Y:6E P:24 SP:F9 CYC: 98
F9B5  C9 55     CMP #$55                        A:55 X:55 Y:6E P:24 SP:F9 CYC:104
F9B7  D0 01     BNE                             A:55 X:55 Y:6E P:27 SP:F9 CYC:110
F9B9  60 84     RTS                             A:55 X:55 Y:6E P:27 SP:F9 CYC:116
E3EF  C8        INY                             A:55 X:55 Y:6E P:27 SP:FB CYC:134
E3F0  20 BD     JSR $F9BD                       A:55 X:55 Y:6F P:25 SP:FB CYC:140
F9BD  24 01     BIT $01 = FF                    A:55 X:55 Y:6F P:25 SP:F9 CYC:158
F9BF  38        SEC                             A:55 X:55 Y:6F P:E5 SP:F9 CYC:167
F9C0  A9 80     LDA #$80                        A:55 X:55 Y:6F P:E5 SP:F9 CYC:173
F9C2  60 90     RTS                             A:80 X:55 Y:6F P:E5 SP:F9 CYC:179
E3F3  9D 00 06  STA $0600,X = 55                A:80 X:55 Y:6F P:E5 SP:FB CYC:197
E3F6  1E 00 06  ASL $0600,X                     A:80 X:55 Y:6F P:E5 SP:FB CYC:212
E3F9  BD 00 06  LDA $0600,X                     A:80 X:55 Y:6F P:67 SP:FB CYC:233
E3FC  20 C3     JSR $F9C3                       A:00 X:55 Y:6F P:67 SP:FB CYC:245
F9C3  90 1C     BCC                             A:00 X:55 Y:6F P:67 SP:F9 CYC:263
F9C5  D0 1A     BNE                             A:00 X:55 Y:6F P:67 SP:F9 CYC:269
F9C7  30 18     BMI                             A:00 X:55 Y:6F P:67 SP:F9 CYC:275
F9C9  50 16     BVC                             A:00 X:55 Y:6F P:67 SP:F9 CYC:281
F9CB  C9 00     CMP #$00                        A:00 X:55 Y:6F P:67 SP:F9 CYC:287
F9CD  D0 12     BNE                             A:00 X:55 Y:6F P:67 SP:F9 CYC:293
F9CF  B8        CLV                             A:00 X:55 Y:6F P:67 SP:F9 CYC:299
F9D0  A9 55     LDA #$55                        A:00 X:55 Y:6F P:27 SP:F9 CYC:305
F9D2  38        SEC                             A:55 X:55 Y:6F P:25 SP:F9 CYC:311
F9D3  60 B0     RTS                             A:55 X:55 Y:6F P:25 SP:F9 CYC:317
E3FF  C8        INY                             A:55 X:55 Y:6F P:25 SP:FB CYC:335
E400  9D 00 06  STA $0600,X = 00                A:55 X:55 Y:70 P:25 SP:FB CYC:  0
E403  1E 00 06  ASL $0600,X                     A:55 X:55 Y:70 P:25 SP:FB CYC: 15
E406  BD 00 06  LDA $0600,X                     A:55 X:55 Y:70 P:A4 SP:FB CYC: 36
E409  20 D4     JSR $F9D4                       A:AA X:55 Y:70 P:A4 SP:FB CYC: 48
F9D4  B0 0B     BCS                             A:AA X:55 Y:70 P:A4 SP:F9 CYC: 66
F9D6  F0 09     BEQ                             A:AA X:55 Y:70 P:A4 SP:F9 CYC: 72
F9D8  10 07     BPL                             A:AA X:55 Y:70 P:A4 SP:F9 CYC: 78
F9DA  70 05     BVS                             A:AA X:55 Y:70 P:A4 SP:F9 CYC: 84
F9DC  C9 AA     CMP #$AA                        A:AA X:55 Y:70 P:A4 SP:F9 CYC: 90
F9DE  D0 01     BNE                             A:AA X:55 Y:70 P:27 SP:F9 CYC: 96
F9E0  60 84     RTS                             A:AA X:55 Y:70 P:27 SP:F9 CYC:102
E40C  C8        INY                             A:AA X:55 Y:70 P:27 SP:FB CYC:120
E40D  20 E4     JSR $F9E4                       A:AA X:55 Y:71 P:25 SP:FB CYC:126
F9E4  24 01     BIT $01 = FF                    A:AA X:55 Y:71 P:25 SP:F9 CYC:144
F9E6  38        SEC                             A:AA X:55 Y:71 P:E5 SP:F9 CYC:153
F9E7  A9 01     LDA #$01                        A:AA X:55 Y:71 P:E5 SP:F9 CYC:159
F9E9  60 90     RTS                             A:01 X:55 Y:71 P:65 SP:F9 CYC:165
E410  9D 00 06  STA $0600,X = AA                A:01 X:55 Y:71 P:65 SP:FB CYC:183
E413  7E 00 06  ROR $0600,X                     A:01 X:55 Y:71 P:65 SP:FB CYC:198
E416  BD 00 06  LDA $0600,X                     A:01 X:55 Y:71 P:E5 SP:FB CYC:219
E419  20 EA     JSR $F9EA                       A:80 X:55 Y:71 P:E5 SP:FB CYC:231
F9EA  90 1C     BCC                             A:80 X:55 Y:71 P:E5 SP:F9 CYC:249
F9EC  F0 1A     BEQ                             A:80 X:55 Y:71 P:E5 SP:F9 CYC:255
F9EE  10 18     BPL                             A:80 X:55 Y:71 P:E5 SP:F9 CYC:261
F9F0  50 16     BVC                             A:80 X:55 Y:71 P:E5 SP:F9 CYC:267
F9F2  C9 80     CMP #$80                        A:80 X:55 Y:71 P:E5 SP:F9 CYC:273
F9F4  D0 12     BNE                             A:80 X:55 Y:71 P:67 SP:F9 CYC:279
F9F6  B8        CLV                             A:80 X:55 Y:71 P:67 SP:F9 CYC:285
F9F7  18        CLC                             A:80 X:55 Y:71 P:27 SP:F9 CYC:291
F9F8  A9 55     LDA #$55                        A:80 X:55 Y:71 P:26 SP:F9 CYC:297
F9FA  60 90     RTS                             A:55 X:55 Y:71 P:24 SP:F9 CYC:303
E41C  C8        INY                             A:55 X:55 Y:71 P:24 SP:FB CYC:321
E41D  9D 00 06  STA $0600,X = 80                A:55 X:55 Y:72 P:24 SP:FB CYC:327
E420  7E 00 06  ROR $0600,X                     A:55 X:55 Y:72 P:24 SP:FB CYC:  1
E423  BD 00 06  LDA $0600,X                     A:55 X:55 Y:72 P:25 SP:FB CYC: 22
E426  20 FB     JSR $F9FB                       A:2A X:55 Y:72 P:25 SP:FB CYC: 34
F9FB  90 0B     BCC                             A:2A X:55 Y:72 P:25 SP:F9 CYC: 52
F9FD  F0 09     BEQ                             A:2A X:55 Y:72 P:25 SP:F9 CYC: 58
F9FF  30 07     BMI                             A:2A X:55 Y:72 P:25 SP:F9 CYC: 64
FA01  70 05     BVS                             A:2A X:55 Y:72 P:25 SP:F9 CYC: 70
FA03  C9 2A     CMP #$2A                        A:2A X:55 Y:72 P:25 SP:F9 CYC: 76
FA05  D0 01     BNE                             A:2A X:55 Y:72 P:27 SP:F9 CYC: 82
FA07  60 84     RTS                             A:2A X:55 Y:72 P:27 SP:F9 CYC: 88
E429  C8        INY                             A:2A X:55 Y:72 P:27 SP:FB CYC:106
E42A  20 0A     JSR $FA0A                       A:2A X:55 Y:73 P:25 SP:FB CYC:112
FA0A  24 01     BIT $01 = FF                    A:2A X:55 Y:73 P:25 SP:F9 CYC:130
FA0C  38        SEC                             A:2A X:55 Y:73 P:E5 SP:F9 CYC:139
FA0D  A9 80     LDA #$80                        A:2A X:55 Y:73 P:E5 SP:F9 CYC:145
FA0F  60 90     RTS                             A:80 X:55 Y:73 P:E5 SP:F9 CYC:151
E42D  9D 00 06  STA $0600,X = 2A                A:80 X:55 Y:73 P:E5 SP:FB CYC:169
E430  3E 00 06  ROL $0600,X                     A:80 X:55 Y:73 P:E5 SP:FB CYC:184
E433  BD 00 06  LDA $0600,X                     A:80 X:55 Y:73 P:65 SP:FB CYC:205
E436  20 10     JSR $FA10                       A:01 X:55 Y:73 P:65 SP:FB CYC:217
FA10  90 1C     BCC                             A:01 X:55 Y:73 P:65 SP:F9 CYC:235
FA12  F0 1A     BEQ                             A:01 X:55 Y:73 P:65 SP:F9 CYC:241
FA14  30 18     BMI                             A:01 X:55 Y:73 P:65 SP:F9 CYC:247
FA16  50 16     BVC                             A:01 X:55 Y:73 P:65 SP:F9 CYC:253
FA18  C9 01     CMP #$01                        A:01 X:55 Y:73 P:65 SP:F9 CYC:259
FA1A  D0 12     BNE                             A:01 X:55 Y:73 P:67 SP:F9 CYC:265
FA1C  B8        CLV                             A:01 X:55 Y:73 P:67 SP:F9 CYC:271
FA1D  18        CLC                             A:01 X:55 Y:73 P:27 SP:F9 CYC:277
FA1E  A9 55     LDA #$55                        A:01 X:55 Y:73 P:26 SP:F9 CYC:283
FA20  60 B0     RTS                             A:55 X:55 Y:73 P:24 SP:F9 CYC:289
E439  C8        INY                             A:55 X:55 Y:73 P:24 SP:FB CYC:307
E43A  9D 00 06  STA $0600,X = 01                A:55 X:55 Y:74 P:24 SP:FB CYC:313
E43D  3E 00 06  ROL $0600,X                     A:55 X:55 Y:74 P:24 SP:FB CYC:328
E440  BD 00 06  LDA $0600,X                     A:55 X:55 Y:74 P:A4 SP:FB CYC:  8
E443  20 21     JSR $FA21                       A:AA X:55 Y:74 P:A4 SP:FB CYC: 20
FA21  B0 0B     BCS                             A:AA X:55 Y:74 P:A4 SP:F9 CYC: 38
FA23  F0 09     BEQ                             A:AA X:55 Y:74 P:A4 SP:F9 CYC: 44
FA25  10 07     BPL                             A:AA X:55 Y:74 P:A4 SP:F9 CYC: 50
FA27  70 05     BVS                             A:AA X:55 Y:74 P:A4 SP:F9 CYC: 56
FA29  C9 AA     CMP #$AA                        A:AA X:55 Y:74 P:A4 SP:F9 CYC: 62
FA2B  D0 01     BNE                             A:AA X:55 Y:74 P:27 SP:F9 CYC: 68
FA2D  60 84     RTS                             A:AA X:55 Y:74 P:27 SP:F9 CYC: 74
E446  A9 FF     LDA #$FF                        A:AA X:55 Y:74 P:27 SP:FB CYC: 92
E448  9D 00 06  STA $0600,X = AA                A:FF X:55 Y:74 P:A5 SP:FB CYC: 98
E44B  85 01     STA $01 = FF                    A:FF X:55 Y:74 P:A5 SP:FB CYC:113
E44D  24 01     BIT $01 = FF                    A:FF X:55 Y:74 P:A5 SP:FB CYC:122
E44F  38        SEC                             A:FF X:55 Y:74 P:E5 SP:FB CYC:131
E450  FE 00 06  INC $0600,X                     A:FF X:55 Y:74 P:E5 SP:FB CYC:137
E453  D0 0D     BNE                             A:FF X:55 Y:74 P:67 SP:FB CYC:158
E455  30 0B     BMI                             A:FF X:55 Y:74 P:67 SP:FB CYC:164
E457  50 09     BVC                             A:FF X:55 Y:74 P:67 SP:FB CYC:170
E459  90 07     BCC                             A:FF X:55 Y:74 P:67 SP:FB CYC:176
E45B  BD 00 06  LDA $0600,X                     A:FF X:55 Y:74 P:67 SP:FB CYC:182
E45E  C9 00     CMP #$00                        A:00 X:55 Y:74 P:67 SP:FB CYC:194
E460  F0 04     BEQ                             A:00 X:55 Y:74 P:67 SP:FB CYC:200
E466  A9 7F     LDA #$7F                        A:00 X:55 Y:74 P:67 SP:FB CYC:209
E468  9D 00 06  STA $0600,X = 00                A:7F X:55 Y:74 P:65 SP:FB CYC:215
E46B  B8        CLV                             A:7F X:55 Y:74 P:65 SP:FB CYC:230
E46C  18        CLC                             A:7F X:55 Y:74 P:25 SP:FB CYC:236
E46D  FE 00 06  INC $0600,X                     A:7F X:55 Y:74 P:24 SP:FB CYC:242
E470  F0 0D     BEQ                             A:7F X:55 Y:74 P:A4 SP:FB CYC:263
E472  10 0B     BPL                             A:7F X:55 Y:74 P:A4 SP:FB CYC:269
E474  70 09     BVS                             A:7F X:55 Y:74 P:A4 SP:FB CYC:275
E476  B0 07     BCS                             A:7F X:55 Y:74 P:A4 SP:FB CYC:281
E478  BD 00 06  LDA $0600,X                     A:7F X:55 Y:74 P:A4 SP:FB CYC:287
E47B  C9 80     CMP #$80                        A:80 X:55 Y:74 P:A4 SP:FB CYC:299
E47D  F0 04     BEQ                             A:80 X:55 Y:74 P:27 SP:FB CYC:305
E483  A9 00     LDA #$00                        A:80 X:55 Y:74 P:27 SP:FB CYC:314
E485  9D 00 06  STA $0600,X = 80                A:00 X:55 Y:74 P:27 SP:FB CYC:320
E488  24 01     BIT $01 = FF                    A:00 X:55 Y:74 P:27 SP:FB CYC:335
E48A  38        SEC                             A:00 X:55 Y:74 P:E7 SP:FB CYC:  3
E48B  DE 00 06  DEC $0600,X                     A:00 X:55 Y:74 P:E7 SP:FB CYC:  9
E48E  F0 0D     BEQ                             A:00 X:55 Y:74 P:E5 SP:FB CYC: 30
E490  10 0B     BPL                             A:00 X:55 Y:74 P:E5 SP:FB CYC: 36
E492  50 09     BVC                             A:00 X:55 Y:74 P:E5 SP:FB CYC: 42
E494  90 07     BCC                             A:00 X:55 Y:74 P:E5 SP:FB CYC: 48
E496  BD 00 06  LDA $0600,X                     A:00 X:55 Y:74 P:E5 SP:FB CYC: 54
E499  C9 FF     CMP #$FF                        A:FF X:55 Y:74 P:E5 SP:FB CYC: 66
E49B  F0 04     BEQ                             A:FF X:55 Y:74 P:67 SP:FB CYC: 72
E4A1  A9 80     LDA #$80                        A:FF X:55 Y:74 P:67 SP:FB CYC: 81
E4A3  9D 00 06  STA $0600,X = FF                A:80 X:55 Y:74 P:E5 SP:FB CYC: 87
E4A6  B8        CLV                             A:80 X:55 Y:74 P:E5 SP:FB CYC:102
E4A7  18        CLC                             A:80 X:55 Y:74 P:A5 SP:FB CYC:108
E4A8  DE 00 06  DEC $0600,X                     A:80 X:55 Y:74 P:A4 SP:FB CYC:114
E4AB  F0 0D     BEQ                             A:80 X:55 Y:74 P:24 SP:FB CYC:135
E4AD  30 0B     BMI                             A:80 X:55 Y:74 P:24 SP:FB CYC:141
E4AF  70 09     BVS                             A:80 X:55 Y:74 P:24 SP:FB CYC:147
E4B1  B0 07     BCS                             A:80 X:55 Y:74 P:24 SP:FB CYC:153
E4B3  BD 00 06  LDA $0600,X                     A:80 X:55 Y:74 P:24 SP:FB CYC:159
E4B6  C9 7F     CMP #$7F                        A:7F X:55 Y:74 P:24 SP:FB CYC:171
E4B8  F0 04     BEQ                             A:7F X:55 Y:74 P:27 SP:FB CYC:177
E4BE  A9 01     LDA #$01                        A:7F X:55 Y:74 P:27 SP:FB CYC:186
E4C0  9D 00 06  STA $0600,X = 7F                A:01 X:55 Y:74 P:25 SP:FB CYC:192
E4C3  DE 00 06  DEC $0600,X                     A:01 X:55 Y:74 P:25 SP:FB CYC:207
E4C6  F0 04     BEQ                             A:01 X:55 Y:74 P:27 SP:FB CYC:228
E4CC  A9 33     LDA #$33                        A:01 X:55 Y:74 P:27 SP:FB CYC:237
E4CE  8D 78 06  STA $0678 = 7F                  A:33 X:55 Y:74 P:25 SP:FB CYC:243
E4D1  A9 44     LDA #$44                        A:33 X:55 Y:74 P:25 SP:FB CYC:255
E4D3  A0 78     LDY #$78                        A:44 X:55 Y:74 P:25 SP:FB CYC:261
E4D5  A2 00     LDX #$00                        A:44 X:55 Y:78 P:25 SP:FB CYC:267
E4D7  38        SEC                             A:44 X:00 Y:78 P:27 SP:FB CYC:273
E4D8  24 01     BIT $01 = FF                    A:44 X:00 Y:78 P:27 SP:FB CYC:279
E4DA  BE 00 06  LDX $0600,Y                     A:44 X:00 Y:78 P:E5 SP:FB CYC:288
E4DD  90 12     BCC                             A:44 X:33 Y:78 P:65 SP:FB CYC:300
E4DF  50 10     BVC                             A:44 X:33 Y:78 P:65 SP:FB CYC:306
E4E1  30 0E     BMI                             A:44 X:33 Y:78 P:65 SP:FB CYC:312
E4E3  F0 0C     BEQ                             A:44 X:33 Y:78 P:65 SP:FB CYC:318
E4E5  E0 33     CPX #$33                        A:44 X:33 Y:78 P:65 SP:FB CYC:324
E4E7  D0 08     BNE                             A:44 X:33 Y:78 P:67 SP:FB CYC:330
E4E9  C0 78     CPY #$78                        A:44 X:33 Y:78 P:67 SP:FB CYC:336
E4EB  D0 04     BNE                             A:44 X:33 Y:78 P:67 SP:FB CYC:  1
E4ED  C9 44     CMP #$44                        A:44 X:33 Y:78 P:67 SP:FB CYC:  7
E4EF  F0 04     BEQ                             A:44 X:33 Y:78 P:67 SP:FB CYC: 13
E4F5  A9 97     LDA #$97                        A:44 X:33 Y:78 P:67 SP:FB CYC: 22
E4F7  8D 7F 06  STA $067F = 00                  A:97 X:33 Y:78 P:E5 SP:FB CYC: 28
E4FA  A9 47     LDA #$47                        A:97 X:33 Y:78 P:E5 SP:FB CYC: 40
E4FC  A0 FF     LDY #$FF                        A:47 X:33 Y:78 P:65 SP:FB CYC: 46
E4FE  A2 00     LDX #$00                        A:47 X:33 Y:FF P:E5 SP:FB CYC: 52
E500  18        CLC                             A:47 X:00 Y:FF P:67 SP:FB CYC: 58
E501  B8        CLV                             A:47 X:00 Y:FF P:66 SP:FB CYC: 64
E502  BE 80 05  LDX $0580,Y                     A:47 X:00 Y:FF P:26 SP:FB CYC: 70
E505  B0 12     BCS                             A:47 X:97 Y:FF P:A4 SP:FB CYC: 82
E507  70 10     BVS                             A:47 X:97 Y:FF P:A4 SP:FB CYC: 88
E509  10 0E     BPL                             A:47 X:97 Y:FF P:A4 SP:FB CYC: 94
E50B  F0 0C     BEQ                             A:47 X:97 Y:FF P:A4 SP:FB CYC:100
E50D  E0 97     CPX #$97                        A:47 X:97 Y:FF P:A4 SP:FB CYC:106
E50F  D0 08     BNE                             A:47 X:97 Y:FF P:27 SP:FB CYC:112
E511  C0 FF     CPY #$FF                        A:47 X:97 Y:FF P:27 SP:FB CYC:118
E513  D0 04     BNE                             A:47 X:97 Y:FF P:27 SP:FB CYC:124
E515  C9 47     CMP #$47                        A:47 X:97 Y:FF P:27 SP:FB CYC:130
E517  F0 04     BEQ                             A:47 X:97 Y:FF P:27 SP:FB CYC:136
E51D  60 A9     RTS                             A:47 X:97 Y:FF P:27 SP:FB CYC:145
C62F  20 A3     JSR $C6A3                       A:47 X:97 Y:FF P:27 SP:FD CYC:163
C6A3  A0 4E     LDY #$4E                        A:47 X:97 Y:FF P:27 SP:FB CYC:181
C6A5  A9 FF     LDA #$FF                        A:47 X:97 Y:4E P:25 SP:FB CYC:187
C6A7  85 01     STA $01 = FF                    A:FF X:97 Y:4E P:A5 SP:FB CYC:193
C6A9  20 B0     JSR $C6B0                       A:FF X:97 Y:4E P:A5 SP:FB CYC:202
C6B0  A9 FF     LDA #$FF                        A:FF X:97 Y:4E P:A5 SP:F9 CYC:220
C6B2  48        PHA                             A:FF X:97 Y:4E P:A5 SP:F9 CYC:226
C6B3  A9 AA     LDA #$AA                        A:FF X:97 Y:4E P:A5 SP:F8 CYC:235
C6B5  D0 05     BNE                             A:AA X:97 Y:4E P:A5 SP:F8 CYC:241
C6BC  28        PLP                             A:AA X:97 Y:4E P:A5 SP:F8 CYC:250
C6BD  04 A9    *NOP $A9                         A:AA X:97 Y:4E P:EF SP:F9 CYC:262
C6BF  44 A9    *NOP $A9                         A:AA X:97 Y:4E P:EF SP:F9 CYC:271
C6C1  64 A9    *NOP $A9                         A:AA X:97 Y:4E P:EF SP:F9 CYC:280
C6C3  EA        NOP                             A:AA X:97 Y:4E P:EF SP:F9 CYC:289
C6C4  EA        NOP                             A:AA X:97 Y:4E P:EF SP:F9 CYC:295
C6C5  EA        NOP                             A:AA X:97 Y:4E P:EF SP:F9 CYC:301
C6C6  EA        NOP                             A:AA X:97 Y:4E P:EF SP:F9 CYC:307
C6C7  08        PHP                             A:AA X:97 Y:4E P:EF SP:F9 CYC:313
C6C8  48        PHA                             A:AA X:97 Y:4E P:EF SP:F8 CYC:322
C6C9  0C A9 A9 *NOP $A9A9                       A:AA X:97 Y:4E P:EF SP:F7 CYC:331
C6CC  EA        NOP                             A:AA X:97 Y:4E P:EF SP:F7 CYC:  2
C6CD  EA        NOP                             A:AA X:97 Y:4E P:EF SP:F7 CYC:  8
C6CE  EA        NOP                             A:AA X:97 Y:4E P:EF SP:F7 CYC: 14
C6CF  EA        NOP                             A:AA X:97 Y:4E P:EF SP:F7 CYC: 20
C6D0  08        PHP                             A:AA X:97 Y:4E P:EF SP:F7 CYC: 26
C6D1  48        PHA                             A:AA X:97 Y:4E P:EF SP:F6 CYC: 35
C6D2  14 A9    *NOP $A9,X                       A:AA X:97 Y:4E P:EF SP:F5 CYC: 44
C6D4  34 A9    *NOP $A9,X                       A:AA X:97 Y:4E P:EF SP:F5 CYC: 56
C6D6  54 A9    *NOP $A9,X                       A:AA X:97 Y:4E P:EF SP:F5 CYC: 68
C6D8  74 A9    *NOP $A9,X                       A:AA X:97 Y:4E P:EF SP:F5 CYC: 80
C6DA  D4 A9    *NOP $A9,X                       A:AA X:97 Y:4E P:EF SP:F5 CYC: 92
C6DC  F4 A9    *NOP $A9,X                       A:AA X:97 Y:4E P:EF SP:F5 CYC:104
C6DE  EA        NOP                             A:AA X:97 Y:4E P:EF SP:F5 CYC:116
C6DF  EA        NOP                             A:AA X:97 Y:4E P:EF SP:F5 CYC:122
C6E0  EA        NOP                             A:AA X:97 Y:4E P:EF SP:F5 CYC:128
C6E1  EA        NOP                             A:AA X:97 Y:4E P:EF SP:F5 CYC:134
C6E2  08        PHP                             A:AA X:97 Y:4E P:EF SP:F5 CYC:140
C6E3  48        PHA                             A:AA X:97 Y:4E P:EF SP:F4 CYC:149
C6E4  1A       *NOP                             A:AA X:97 Y:4E P:EF SP:F3 CYC:158
C6E5  3A       *NOP                             A:AA X:97 Y:4E P:EF SP:F3 CYC:164
C6E6  5A       *NOP                             A:AA X:97 Y:4E P:EF SP:F3 CYC:170
C6E7  7A       *NOP                             A:AA X:97 Y:4E P:EF SP:F3 CYC:176
C6E8  DA       *NOP                             A:AA X:97 Y:4E P:EF SP:F3 CYC:182
C6E9  FA       *NOP                             A:AA X:97 Y:4E P:EF SP:F3 CYC:188
C6EA  80 89    *NOP #$89                        A:AA X:97 Y:4E P:EF SP:F3 CYC:194
C6EC  EA        NOP                             A:AA X:97 Y:4E P:EF SP:F3 CYC:200
C6ED  EA        NOP                             A:AA X:97 Y:4E P:EF SP:F3 CYC:206
C6EE  EA        NOP                             A:AA X:97 Y:4E P:EF SP:F3 CYC:212
C6EF  EA        NOP                             A:AA X:97 Y:4E P:EF SP:F3 CYC:218
C6F0  08        PHP                             A:AA X:97 Y:4E P:EF SP:F3 CYC:224
C6F1  48        PHA                             A:AA X:97 Y:4E P:EF SP:F2 CYC:233
C6F2  1C A9 A9 *NOP $A9A9,X                     A:AA X:97 Y:4E P:EF SP:F1 CYC:242
C6F5  3C A9 A9 *NOP $A9A9,X                     A:AA X:97 Y:4E P:EF SP:F1 CYC:254
C6F8  5C A9 A9 *NOP $A9A9,X                     A:AA X:97 Y:4E P:EF SP:F1 CYC:266
C6FB  7C A9 A9 *NOP $A9A9,X                     A:AA X:97 Y:4E P:EF SP:F1 CYC:278
C6FE  DC A9 A9 *NOP $A9A9,X                     A:AA X:97 Y:4E P:EF SP:F1 CYC:290
C701  FC A9 A9 *NOP $A9A9,X                     A:AA X:97 Y:4E P:EF SP:F1 CYC:302
C704  EA        NOP                             A:AA X:97 Y:4E P:EF SP:F1 CYC:314
C705  EA        NOP                             A:AA X:97 Y:4E P:EF SP:F1 CYC:320
C706  EA        NOP                             A:AA X:97 Y:4E P:EF SP:F1 CYC:326
C707  EA        NOP                             A:AA X:97 Y:4E P:EF SP:F1 CYC:332
C708  08        PHP                             A:AA X:97 Y:4E P:EF SP:F1 CYC:338
C709  48        PHA                             A:AA X:97 Y:4E P:EF SP:F0 CYC:  6
C70A  A2 05     LDX #$05                        A:AA X:97 Y:4E P:EF SP:EF CYC: 15
C70C  68        PLA                             A:AA X:05 Y:4E P:6D SP:EF CYC: 21
C70D  C9 55     CMP #$55                        A:AA X:05 Y:4E P:ED SP:F0 CYC: 33
C70F  F0 0A     BEQ                             A:AA X:05 Y:4E P:6D SP:F0 CYC: 39
C711  C9 AA     CMP #$AA                        A:AA X:05 Y:4E P:6D SP:F0 CYC: 45
C713  F0 06     BEQ                             A:AA X:05 Y:4E P:6F SP:F0 CYC: 51
C71B  68        PLA                             A:AA X:05 Y:4E P:6F SP:F0 CYC: 60
C71C  29 CB     AND #$CB                        A:EF X:05 Y:4E P:ED SP:F1 CYC: 72
C71E  C9 00     CMP #$00                        A:CB X:05 Y:4E P:ED SP:F1 CYC: 78
C720  F0 06     BEQ                             A:CB X:05 Y:4E P:ED SP:F1 CYC: 84
C722  C9 CB     CMP #$CB                        A:CB X:05 Y:4E P:ED SP:F1 CYC: 90
C724  F0 02     BEQ                             A:CB X:05 Y:4E P:6F SP:F1 CYC: 96
C728  C8        INY                             A:CB X:05 Y:4E P:6F SP:F1 CYC:105
C729  CA        DEX                             A:CB X:05 Y:4F P:6D SP:F1 CYC:111
